Term Amount,Add Array Memory,Add Array Time,Add List Memory,Add List Time,Generate Array Memory,Generate Array Time,Generate List Memory,Generate List Time,Multiply Array Memory,Multiply Array Time,Multiply List Memory,Multiply List Time,Process Array Memory,Process Array Time,Process List Memory,Process List Time
Term Amount,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List
250,24304,0.06,32272,0.089,4000,0.008,8000,0.031,2898192,13.737,3118160,13.54,0,0.015,0,0.018
250,24304,0.06,32272,0.089,4000,0.009,8000,0.03,2898192,17.41,3118160,16.336,0,0.015,0,0.02
250,24304,0.064,32272,0.081,4000,0.009,8000,0.031,2898192,12.734,3118160,14.019,0,0.015,0,0.014
250,24304,0.059,32272,0.081,4000,0.009,8000,0.031,2898192,12.288,3118160,14.852,0,0.014,0,0.015
250,24304,0.059,32272,0.081,4000,0.008,8000,0.031,2898192,13.29,3118160,15.065,0,0.015,0,0.015
260,25248,0.065,33344,0.095,4160,0.01,8320,0.032,3092192,13.041,3372640,13.044,0,0.016,0,0.018
260,25248,0.061,33344,0.084,4160,0.009,8320,0.037,3092192,10.726,3372640,14.46,0,0.016,0,0.016
260,25248,0.061,33344,0.084,4160,0.009,8320,0.031,3092192,11.094,3372640,12.563,0,0.016,0,0.015
260,25248,0.067,33344,0.09,4160,0.009,8320,0.031,3092192,10.072,3372640,12.587,0,0.015,0,0.016
260,25248,0.06,33344,0.083,4160,0.009,8320,0.032,3092192,13.122,3372640,12.339,0,0.016,0,0.015
270,26024,0.065,34408,0.094,4320,0.01,8640,0.034,3133152,10.635,3372640,12.746,0,0.016,0,0.019
270,26024,0.064,34408,0.093,4320,0.01,8640,0.033,3133152,12.743,3372640,18.734,0,0.021,0,0.018
270,26024,0.064,34408,0.087,4320,0.009,8640,0.034,3133152,10.501,3372640,12.968,0,0.016,0,0.021
270,26024,0.075,34408,0.086,4320,0.01,8640,0.038,3133152,12.143,3372640,16.384,0,0.016,0,0.016
270,26024,0.068,34408,0.09,4320,0.009,8640,0.034,3133152,14.819,3372640,14.263,0,0.016,0,0.016
280,27184,0.067,35920,0.104,4480,0.01,8960,0.04,3339920,13.764,3648464,15.582,0,0.017,0,0.02
280,27184,0.066,35920,0.092,4480,0.01,8960,0.035,3339920,15.806,3648464,14.971,0,0.017,0,0.016
280,27184,0.066,35920,0.091,4480,0.01,8960,0.034,3339920,15.46,3648464,15.149,0,0.016,0,0.017
280,27184,0.072,35920,0.097,4480,0.01,8960,0.034,3339920,11.709,3648464,14.828,0,0.031,0,0.017
280,27184,0.066,35920,0.091,4480,0.01,8960,0.035,3339920,13.414,3648464,16.142,0,0.02,0,0.016
290,28104,0.07,37320,0.106,4640,0.01,9280,0.039,3560160,13.517,3946784,19.761,0,0.022,0,0.02
290,28104,0.069,37320,0.094,4640,0.01,9280,0.036,3560160,19.36,3946784,14.128,0,0.017,0,0.023
290,28104,0.069,37320,0.094,4640,0.01,9280,0.035,3560160,14.383,3946784,18.71,0,0.024,0,0.017
290,28104,0.074,37320,0.094,4640,0.011,9280,0.042,3560160,17.21,3946784,36.635,0,0.017,0,0.017
290,28104,0.069,37320,0.104,4640,0.01,9280,0.036,3560160,17.569,3946784,30.82,0,0.017,0,0.018
300,29096,0.07,38440,0.107,4800,0.011,9600,0.036,3601120,14.952,3946784,36.986,0,0.018,0,0.022
300,29096,0.07,38440,0.096,4800,0.01,9600,0.036,3601120,15.825,3946784,36.593,0,0.018,0,0.018
300,29096,0.074,38440,0.101,4800,0.011,9600,0.036,3601120,17.762,3946784,19.801,0,0.021,0,0.018
300,29096,0.075,38440,0.096,4800,0.01,9600,0.036,3601120,15.865,3946784,28.44,0,0.018,0,0.018
300,29096,0.069,38440,0.095,4800,0.011,9600,0.037,3601120,32.176,3946784,15.268,0,0.018,0,0.018
310,29968,0.077,39728,0.114,4960,0.011,9920,0.039,3642080,25.952,3946784,19.437,0,0.018,0,0.028
310,29968,0.073,39728,0.099,4960,0.011,9920,0.045,3642080,21.307,3946784,16.035,0,0.019,0,0.019
310,29968,0.072,39728,0.1,4960,0.011,9920,0.038,3642080,16.315,3946784,17.305,0,0.019,0,0.018
310,29968,0.078,39728,0.105,4960,0.011,9920,0.039,3642080,13.891,3946784,15.553,0,0.023,0,0.018
310,29968,0.072,39728,0.1,4960,0.011,9920,0.039,3642080,20.138,3946784,15.298,0,0.018,0,0.019
320,31176,0.081,41288,0.112,5120,0.011,10240,0.039,3683040,14.276,3946784,16.111,0,0.019,0,0.022
320,31176,0.076,41288,0.111,5120,0.011,10240,0.039,3683040,14.252,3946784,20.108,0,0.019,0,0.019
320,31176,0.075,41288,0.104,5120,0.011,10240,0.05,3683040,16.237,3946784,16.348,0,0.019,0,0.019
320,31176,0.081,41288,0.104,5120,0.012,10240,0.046,3683040,14.785,3946784,16.486,0,0.019,0,0.018
320,31176,0.081,41288,0.109,5120,0.011,10240,0.04,3683040,14.608,3946784,16.294,0,0.019,0,0.024
330,31952,0.078,42352,0.114,5280,0.011,10560,0.041,3724000,19.846,3959736,17.012,0,0.019,0,0.025
330,31952,0.077,42352,0.106,5280,0.011,10560,0.04,3724000,14.78,3959736,17.024,0,0.02,0,0.019
330,31952,0.077,42352,0.115,5280,0.012,10560,0.04,3724000,14.057,3959736,21.101,0,0.019,0,0.02
330,31952,0.082,42352,0.107,5280,0.011,10560,0.04,3724000,13.703,3959736,17.259,0,0.025,0,0.02
330,31952,0.077,42352,0.106,5280,0.012,10560,0.04,3724000,14.939,3959736,17.266,0,0.02,0,0.019
340,33096,0.079,43720,0.121,5440,0.012,10880,0.042,3958272,15.101,4268096,17.892,0,0.02,0,0.025
340,33096,0.079,43720,0.109,5440,0.011,10880,0.047,3958272,18.949,4268096,18.251,0,0.02,0,0.02
340,33096,0.085,43720,0.115,5440,0.012,10880,0.042,3958272,19.58,4268096,23.381,0,0.02,0,0.031
